LAS,PHNDHj5J1Y,WI1RYRUQP,-136.521,35.5719,ueroEot8TO
LAX,xuz5jgARkG,4A1Qb6sB,-172.1265,-17.9461,QrNUgFjh6I
LAS,Hx2JuYk1a,pCi40vcLLy,-39.9986,-43.6626,oMIeekr8Vg
LAS,KfRYvvKiQDQ,qkkSIEGcU,-55.7759,55.8414,UZkkNAsTUrJh6
LAX,6TXlru2mwte,qrtrkDInn6a,-142.2991,-44.1236,rC4W5wIQR
LAX,3IS4V2rk3,Ft7jDVS2,153.2636,21.1593,hIN5UXEOVajp
LAX,7Rnka7J1E,uW9nTqAxI,-172.1552,-18.6995,UZPjOiOfa
LAS,ATRokcR95d,6le4egGTjF,-110.1937,48.7026,be4JaqTBNGhvl
LAX,s5EpklqgXl9,6on8U3GSB,-176.6122,-75.1911,t6t6HHyjPZ
LAX,OwrRkCl1z2,DY0eohJW,0.4215,-16.7309,KjOnUhA0
LAS,zQy0VSln4mh,6t7GnQKH6,121.8422,30.411,2QYHz42Ps9
LAS,CNDSFD5FD5Y,Lg5R9m1VFZ,-39.9986,LBqDixFf9z
LAS,nGBVNLZlfq,CacGA7ven,157.7601,-17.4289,4YbZrkIoT
LAX,jyLPUmT94K,YZPzTfcxWCTz,-16.635,-42.866,QrrM5Z97Cm5FO
LAS,2YmXyzKUQer,FUCtsgXkCl,0.8963,-41.6634,1p30EOJyuLi8D
LAS,6HHhFR3Yz,lJ14puX86L,-132.9378,HHhWE9V3
LAX,sCl1TDQZdq,YZSh6u5W9t,-61.6735,-19.6388,fZQoiFwVqoi
LAX,gBPQcqw7wCA,NmPKZlvW,61.6482,-18.907,qoiFUCtsGxg
LAX,ls1P600pSNn,0UqoTOh,-140.3003,-10.2048,fVaiQt1Qlrk
LAX,VJwHJoCnka,gjoikrCbNo,156.9642,-18.0799,jfCNgsjP7Avgep
LAS,YLu8robbSd,ZhuqvDB7kG,-16.7378,0.6092,3QyTM5fRu6gq
LAS,eUQrZYqm5f,yUaqBQdWG,-130.2748,-62.6738,uqAcg5rVk
LAS,CNDSFD5FD5W,t6uZTqAxI,-130.0148,24.2943,DUXbcq4r
